Data;ISPB;Nome;NaturezaUsuario;TipoChave;qtdChaves
31/07/2023;24431221;COOP CRESOL TRANSAMAZAîNICA;PJ;e-mail;292
31/07/2023;1796302;UNICRED REGIAO DOS VALES;PJ;e-mail;298
31/05/2023;360305;CAIXA ECONOMICA FEDERAL;PJ;Celular;150039
31/07/2023;44469161;COOPECREDI GUARIBA - CC;PF;Aleatoria;882
31/08/2023;90729369;COOP SICREDI CULTURAS RS/MG;PJ;e-mail;584
28/02/2023;33172537;BCO JP MORGAN SA;PJ;Aleatoria;10
31/07/2023;7958405;COOP CRESOL SERRA MAR;PJ;CNPJ;269
31/03/2023;28505126;LOGBANK IP SA;PF;Celular;1026
30/06/2023;89990501;COOP SICREDI IBIRAIARAS RS/MG;PJ;CNPJ;4835
31/08/2023;26072728;CC UNIAO CENTRO OESTE LTDA;PF;Celular;1
31/07/2023;10143499;CCLA JATAAç E REGIAO;PF;e-mail;404
28/02/2023;5428587;COOP CRESOL OLIVEIRA DOS BREJINHOS;PF;e-mail;110
31/05/2023;7714057;CECM PROF AÅREA NOTARIAL REGISTRAL;PF;Aleatoria;712
30/04/2023;4174720;CC SICOOB COOPEMAR;PJ;CNPJ;931
31/07/2023;40867163;N26 SCD;PF;e-mail;28529
30/04/2023;9463721;COOP CRESOL JACINTO MACHADO;PF;CPF;713
31/03/2023;915950;CECM SICOOB COOPERCREDI - SP;PF;e-mail;1
31/08/2023;4565791;COOP CRESOL ARATIBA;PJ;Celular;107
30/04/2023;32467086;SICOOB SUL;PJ;e-mail;2344
30/04/2023;7318874;COOP  SICOOB MADIO OESTE;PJ;e-mail;263
28/02/2023;34088029;LISTO SCD SA;PJ;Celular;430
30/04/2023;86585049;SICOOB CREDILEITE;PF;Aleatoria;263
28/02/2023;4484490;COOP SICREDI ALTA NOROESTE SP;PJ;CNPJ;2439
31/07/2023;10520232;COOP CRESOL AMAZONIA;PF;Aleatoria;903
30/06/2023;16814330;BK INSTITUICAO DE PAGAMENTO;PJ;CNPJ;398
30/04/2023;9403026;CC CENTRO LESTE NORTE MARANHENSE - SICOOB CENTROLESTE;PJ;e-mail;471
31/01/2023;4565791;COOP CRESOL ARATIBA;PF;Celular;476
31/05/2023;25395435;CC CREDICAF LTDA;PF;CPF;7755
28/02/2023;81607046;CCLAA SAO MIGUEL DO OESTE;PJ;Aleatoria;1621
31/03/2023;71027866;BCO BS2 SA;PF;CPF;4725
28/02/2023;28127603;BCO BANESTES SA;PJ;Aleatoria;5209
28/02/2023;24795049;CCLA SUDOESTE GOIANO;PJ;Celular;1123
30/04/2023;16695922;ID CTVM;PF;Aleatoria;2
31/07/2023;7122321;CC INTEGRADO - SICOOB INTEGRADO;PF;Celular;4133
31/08/2023;90608712;COOP SICREDI SERRANA RS;PJ;CNPJ;15168
31/08/2023;4174720;CC SICOOB COOPEMAR;PJ;Celular;254
31/07/2023;38460917;MACREBANK;PJ;Aleatoria;51
31/03/2023;9576849;CCLA CERES E RIALMA LTDA;PJ;Celular;130
28/02/2023;73113243;COOP SICREDI MORADA DO SOL SP;PJ;e-mail;354
31/05/2023;7945233;POLOCRED SCMEPP LTDA;PF;Celular;3
31/07/2023;4663561;COOP INVEST INT SOL VALE DAS AÅGUAS PR/MG;PF;Celular;1268
31/08/2023;31752308;PHI PAGAMENTOS;PF;Aleatoria;10524
31/01/2023;8071414;CECM SICOOB COOPERAC;PF;CPF;901
31/01/2023;41931445;CC CREDIFOR LTDA;PJ;Celular;617
31/03/2023;11165756;GLOBAL SCM LTDA;PJ;CNPJ;3
30/04/2023;3015152;COOP CRESOL SAO VALENTIM;PJ;e-mail;33
31/03/2023;36586946;BONUSPAGO SCD SA;PJ;CNPJ;7
31/08/2023;2025743;COOP CRESOL VALE DO OURO;PJ;e-mail;196
31/01/2023;2528151;CC SICOOB CREDCOOP;PJ;Celular;159
31/07/2023;32192325;UZZIPAY IP SA;PF;e-mail;570
31/05/2023;16695922;ID CTVM;PF;e-mail;3
30/04/2023;2448839;SICOOB CREDIUNIAO;PF;e-mail;207
28/02/2023;7440317;CC SICOOB CREDMED;PF;Aleatoria;2
31/05/2023;58022195;CECM EMPR EMP ZILLO LORENZETTI;PF;Aleatoria;179
31/05/2023;66262643;CCLA DE POMPEU LTDA;PF;e-mail;749
30/06/2023;4120633;SICOOB EMPRESAS RJ;PF;Celular;581
31/07/2023;78825023;CCLAA OESTE CATARINENSE;PF;CPF;6999
31/05/2023;5351887;ZEMA CFI S/A;PF;e-mail;632
30/04/2023;4261151;COOP CRESOL TRANSFORMACAO;PJ;e-mail;199
31/08/2023;95424891;COOP SICREDI VALE DO RIO PARDO;PJ;CNPJ;4618
31/08/2023;22896431;PICPAY;PF;e-mail;6463125
28/02/2023;259231;CCLA SICOOB UNIMAIS METROPOLITANA;PJ;Aleatoria;699
31/01/2023;11760553;GAZINCRED SA SCFI;PF;Celular;4
28/02/2023;1526924;UNICRED HORIZONTES;PF;e-mail;288
31/01/2023;1896779;CSU;PF;e-mail;5
30/04/2023;40654622;TRINUS SCD SA;PF;e-mail;98
31/08/2023;3412878;CC CREDIRAMA;PJ;Aleatoria;109
28/02/2023;1760242;CCLA DE BH E CIDADES POLO DE MG;PF;CPF;3008
28/02/2023;33370115;FURNAS;PF;e-mail;1379
28/02/2023;3485130;COOP CRESOL ENCOSTAS DA SERRA GERAL;PJ;CNPJ;645
31/05/2023;1090027;CECMM CATEG AFINS-UNICRED MULTIPLO VALOR;PF;e-mail;543
31/01/2023;84974278;COOP SICREDI IGUACU PR/SC/SP;PJ;e-mail;687
31/07/2023;86829827;CCLA DO VALE;PJ;Celular;1089
28/02/2023;7215632;COOP CRESOL ALTERNATIVA;PF;Celular;945
28/02/2023;2587492;CCLA URUBICI;PF;Aleatoria;725
31/03/2023;2414044;CECM EMPR INST ENS SUP SUL MG;PF;CPF;2
31/03/2023;7206072;COOP SICREDI NOVOS HORIZONTES;PJ;e-mail;515
